,processed_tweet,label_enc
0,post claims compulsory vaccination violates principles bioethics coronavirus doesn™t exist pcr test returns many false positives influenza vaccine related covid19,0
1,photo claims person doctor died attending much covid19 patients hospital music buenos aires,0
2,post video claims protest combination town amanda de duero burgos,0
3,deaths respiratory failure pneumonia registered covid19 according civil registry website,0
4,dean college biologists busked states lot pcr false positives asymptomatic dona™t spread coronavirus,0
5,households covid19 patients porto alegre campo grande santa anti´nio plating must put red ribbon garbage bags garbageman instructed handle safer way,0
6,chain lists recommendations prevent treat coronavirus,0
7,60000 argentinian companies closed due covid19 also companies receiving government aid pandemic expropriated government,0
8,social media posts criticize photo smiling president government pedro sa¡inches holidays thousands died covid19,0
9,cdc released update novel coronavirus transmitted,0
10,good oral hygiene destroys coronavirus prevents spread,0
11,video shows pakistani minister health slapping obey official measures,0
12,brazilian deputed says pandemic started decrease state rio grande sul,0
13,warns consuming cabbage prevent covid19,0
14,picture shows hydroxychloroquine sold public trains rio de janeiro,0
15,evidence chlorine dioxide cures covid19,0
16,video shows pakistani minister health slapping obey official measures,0
17,picture shows hydroxychloroquine sold public trains rio de janeiro,0
18,coronavirus settle air grounded a“ unicef,0
19,coronavirus float air grounded a“ unicef,0
20,axel keillor governor province buenos aires argentina alright strict quarantine barcelona,0
21,list alleged remedies treat coronavirus,0
22,coronavirus covid19 large cell diameter 400500 micro reason mask may prevent entry a“ unicef,0
23,covid19 controlled africa widespread distribution ivermectin,0
24,post claims pcr test damage bloodbrain barrier create direct entrance brain infectiona,0
25,supposed tweet form berlin police claims 35 million people august 1st rally berlin coronavirus measures,0
26,covid a“ 19 bacterium amplified 5g technology,0
27,post spreading whatsapp claims 50 hospital guards job openings ifma hospital madrid,0
28,photo shows hand sanitizer sold vitamin box,0
29,78 fall chinese product sales brazil due boycott motivated pandemic according incing,0
30,photo collage claims show images taken protest coronavirus restrictions germany august 2020,0
31,police raid private spaces medellin breach dry law,0
32,post showing health worker music hospital argentina died treating patients covid19,0
33,fact check neither viral post coronavirus covid19 unicef accurate,0
34,covid19 vaccines cause infertility a“ get vaccinated,0
35,video supposedly showing dead covid19 victim raising hand lifted away health workers proves global pandemic hoax,0
36,covid19 ph value,0
37,â€˜doctors truth™ make claims coronavirus,0
38,chinese vaccines contain microchip receives 5g signals allow chinese government interfere rna,0
39,30 fall chinese product sales brazilian state santa catarina due boycott motivated pandemic,0
40,photo beach lots boats message says infected immigrants angelia preparing travel spain,0
41,said solution perhaps never beach coronavirus,0
42,fact check covid19 doesn™t ph value experts advice boosting immunity fight coronavirus,0
43,image states mask use causes pneumonia hypoxia,0
44,picture allegedly showing crowd berlin august 1st protesting german government measures covid19,0
45,photo beach lots boats message says infected immigrants angelia preparing travel spain,0
46,picture allegedly showing crowd berlin august 1st protesting german government measures covid19,0
47,pedro sanchez president government spain spoke scientific committee government recognize committee never existed,0
48,mask cause lot diseases said asymptomatic patients dona™t pass virus also lot false positive pcr tests,0
49,image episode fukuyama claims show forbade time travel back 2020,0
50,photo demonstration measures german government stop pandemic,0
51,spanish prime minister pedro sanchez told people invest bitcoin pandemic,0
52,video shows mannequin taken ambulance claims media trying fool audience make think ital™s covid19 patient,0
53,picture allegedly showing large crowd gathered berlin august 1st 2020 protest restrictive measures imposed government covid19 pandemic,0
54,facebook posts shared thousands times claim washington™s mayor exempted members congress 14day quarantine traveled funeral civil rights icon john lewis georgia city considers â€œhighriskâ€ state coronavirus,0
55,picture allegedly showing large crowd million people gathered berlin august 1st 2020 protest restrictive measures imposed government covid19 pandemic,0
56,photo collage shared hundreds times multiple posts facebook alongside claim images taken protest coronavirus restrictions germany august 2020,0
57,photo shared thousands times multiple posts facebook twitter claim shows protest coronavirus restrictions german capital berlin august 2020,0
58,picture allegedly showing large crowd gathered berlin august 1st 2020 protest health dictatorship imposed government stop covid19 pandemic,0
59,list substances cure coronavirus according cali doctor,0
60,adidas giving away face masks,0
61,street protest criticizing japanese prime minister shinto abeam™s government source night life city cluster,0
62,63 intensive care beds occupied infected protesters,0
63,publication claims doctor music hospital named marcos vargas died treating patients coronavirus,0
64,image published argentine journalist viviana canola two people respecting social distancing casey rosado,0
65,axel keillor governor province buenos aires argentina agathe north american economy suffered drop gdp 33 biggest drop last 70 years,0
66,task honor nobel prize medicine said coronavirus axis natural,0
67,vaccine new coronavirus existed since 2001,0
68,publication claims doctor music hospital named marcos vargas died treating patients coronavirus,0
69,post claims cigarette smoke transmits coronavirus,0
70,adidas giving away face masks,0
71,axel keillor governor province buenos aires argentina agathe north american economy suffered drop gdp 33 biggest drop last 70 years,0
72,south korea study finds quarantines useless combating covid19,0
73,multiple facebook posts shared hundreds times claim viruses harm kill peoplea harm death caused virus attributed agathe overreaction weakened dysfunctional immune system,0
74,63 intensive care beds occupied infected protesters,0
75,new coronavirus vaccine â€œdigitizable rna activated 5gâ€ reactivate virus,0
76,children vaccinated flu significantly higher risk contracting respiratory infections including coronaviruses,0
77,eduardo late governor rio grande sul brazil taking hydroxychloroquine ivermectin covid19,0
78,combination hydroxychloroquine azithromycin zinc guaranteed cure 999 covid19 patient,0
79,rojas americanas brazilian retail company offering gift cards families distress caused pandemic,0
80,vaccine new coronavirus existed since 2001,0
81,facebook posts claimed british columbia™s top health officer warned risks asbestos poisoning plywood boards used barriers covid19 transmission certain types sex,0
82,brazilian city halls receive r 19000 federal funding recorded covid19 death,0
83,facebook posts claimed british columbia™s top health officer warned risks asbestos poisoning plywood boards used barriers covid19 transmission certain types sex,0
84,herman cain onetime republican presidential candidate died colon cancer covid19,0
85,giraldo brazilian cartoon artist stated mayors ordered lockdowns reelected,0
86,gargling water mixed salt vinegar get rid novel coronavirus oneal™s throat,0
87,doctor claims belgians immune covid19,0
88,critics say wrong use pcr tests detect covid19 since theory specific sarscov2 nonspecific test genetic material organism detected potentially misidentify another virus covid19,0
89,image claims immigrant tested appositive covid19â€ arrived boat yesterday fled cape area alicante alleged escapees™s full name well photo alleged escape appear image also claims man fled el material detention center,0
90,andrews fabian¡n hurt ado mayor ibagué says city lost four million jobs due coronavirus,0
91,covid19 pcr test microchips integrated human bodies,0
92,chloroquine cure covid19 masks used,0
93,flu vaccine caused spread covid19,0
94,post claims several medicine combinations cure covid19,0
95,chlorine dioxide removes coronavirus body within 48 hours,0
96,video shows group doctors calling doctors truth defend justify claims mask dona™t work lockdowns won™t stop virus flu vaccine spread sarscov2,0
97,wearing mask lowers blood oxygen level,0
98,philippine education secretary leonor brines shown quoted saying classes resume aug 24 amid covid19 pandemic aif die diea,0
99,critics say wrong use pcr tests detect covid19 since theory specific sarscov2 nonspecific test genetic material organism detected potentially misidentify another virus covid19,0
100,video shows group doctors calling doctors truth defend justify claims mask dona™t work lockdowns won™t stop virus flu vaccine spread sarscov2,0
101,wearing mask lowers blood oxygen level,0
102,andrews fabian¡n hurt ado mayor ibagué says city lost four million jobs due coronavirus,0
103,doctor recommends use ivermectin hydroxychloroquine chlorine dioxide interferon cure coronavirus,0
104,coronavac uses cells aborted fetuses,0
105,stella immanuel claims drug combination hydroxychloroquine zinc azithromycin cure preventative covid19 people dona™t need wear masks practice physical distancing breitbart video featuring group called american™s frontline doctors,0
106,group called american™s frontline doctors featured viral video claiming hydroxychloroquine cures covid19,0
107,news article claims 30 ukrainian patients participated american covid19 vaccine trial died test took place area lugansk ukrainian separatist region,0
108,spanish prime minister pedro sa¡inches said monday july 27 interview â€˜informativos telecincoâ€™ min 119 spanish territory accumulated incidence virus still low lower insist a¦ average also united kingdom,0
109,image shows traffic accident driver allegedly died hypoxia wearing mask,0
110,covid19 vaccine causes bad allergic reactions,0
111,photo young man swollen face allegedly volunteer coronavac chinese vaccine covid19 tested brazil,0
112,facebook post claims covid19 afraid â€ mass media used photo portuguese boy multiple stories children died covid19,0
113,photo man swollen face shows side effect coronavac brazilian volunteer,0
114,lemon ginger garlic cures coronavirus,0
115,truck depicting god death anubis aimed testing infecting people eventually ends human microchipping,0
116,image casts doubt tools used rapid tests coronavirus,0
117,news article claims 30 ukrainian patients participated american covid19 vaccine trial died test took place area lugansk ukrainian separatist region,0
118,spanish prime minister pedro sa¡inches said monday july 27 interview â€˜informativos telecincoâ€™ min 119 spanish territory accumulated incidence virus still low lower insist a¦ average also united kingdom,0
119,covid19 vaccine causes bad allergic reactions,0
120,video doctor press conference said hydroxychloroquine cure covid19 also said masks necessary,0
121,group called american™s frontline doctors featured viral video claiming hydroxychloroquine cures covid19,0
122,post claimed photos man gold mask religious leader asked congregation gold mask god revealed dreama,0
123,brazilian regulatory agency visa labeled ivermectin controlled substance ital™s cheap helps save lives,0
124,border france belgium closed,0
125,thereat™s chloroquine ivermectin lemon orange peels,0
126,brazilian coronavac volunteer reported body pain fever vaccination,0
127,doctors cannon lose professional license refusing prescribe hydroxychloroquine,0
128,multiple posts shared hundreds times facebook twitter claim four ukrainian soldiers died participating american covid19 vaccine trials northeastern ukrainian city kharkiv claim published several languages across different posts attributed police spokesperson selfproclaimed lugansk people™s republic,0
129,lawsuits filed fauci gates creating artificially disseminating virus,0
130,post claims show three medications prevent coronavirus,0
131,post russian virology center recommends alkaline diet fight coronavirus,0
132,thereat™s chloroquine ivermectin lemon orange peels,0
133,masks pores large block virus,0
134,facebook post claiming italian minister education lucia carolina wants buy school desks â‚¬300 ital™s possible find product online â‚¬30,0
135,president ghana revealed coronavirus created laboratory,0
136,masks sanitized microwave,0
137,border france belgium closed,0
138,nasal swab test covid19 damages â€œbloodbrain barrier therefore lead brain infections,0
139,world health organization announced sarscov2 stay air eight hours,0
140,multiple posts shared tens thousands times facebook twitter claim woman contracted pleurisy lung inflammation condition wearing face mask extended period time according posts unidentified woman caught disease breathing carbon dioxide bacteria,0
141,pictures flooded nmch hospital patna,0
142,covid19 means see sheep surrender™ latin,0
143,publications state agathe new vaccine contains digitize â€˜rnaâ€™a alleged â€œreplicant activated 5gâ€ agathe virus reactivated patient recovers,0
144,ship carrying honduran mobile hospitals caught fire,0
145,oxford university™s vaccine made using cells aborted fetuses,0
146,governor july argentina gerardo morales metropolitan area buenos aires 20 infected health personnel,0
147,post uses image undocumented nicaraguan claims tested positive covid19 spitting doors,0
148,video stating brazil hospitals receive â‚¬3000 covid19related death,0
149,photo claiming show jair bolsonaro hospitalized coronavirus,0
150,economic bonus low electrical energy consumption collects personal data government explain could used,0
151,general treatment new coronavirus includes antibiotics antiinflammatories corticosteroids,0
